unidade;ano;mes;case_mix
HAC;2019;5;1,2407
HAC;2019;6;1,6071
HAC;2019;7;1,9454
HAC;2019;8;1,3421
HAC;2019;9;1,6427
HAC;2019;10;1,6570000000000003
HAC;2019;11;1,4637
HAC;2019;12;1,6579
HAC;2020;1;1,3881
HAC;2020;2;1,392
HAC;2020;3;2,0983
HAC;2020;4;1,5546
HAC;2020;5;1,4084
HAC;2020;6;1,9045
HAC;2020;7;1,8234
HAC;2020;8;1,7789
HAC;2020;9;1,5658
HAC;2020;10;1,5244
HAC;2020;11;1,424
HAC;2020;12;1,5127
HAC;2021;1;1,5801
HAC;2021;2;1,6695
HAC;2021;3;1,4815
HAC;2021;4;1,6821
HAC;2021;5;1,6351
HAC;2021;6;1,708
HAC;2021;7;1,9065
HAC;2021;8;1,4223
HAC;2021;9;1,4728
HAC;2021;10;1,6109
HAC;2021;11;1,4509
HAC;2021;12;1,6681
HAC;2022;1;1,3632
HAC;2022;2;1,3801
HAC;2022;3;1,7145
HAC;2022;4;1,683
HAC;2022;5;1,5239
HAC;2022;6;1,1626
HAC;2022;7;1,2778
HAC;2022;8;1,4365
HAC;2022;9;1,5625
HAC;2022;10;1,9975
HAC;2022;11;1,9395000000000002
HAC;2022;12;1,7617
HAC;2023;1;1,5003
HAC;2023;2;2,0992
HAC;2023;3;1,451
HAC;2023;4;1,4924
HAC;2023;5;1,4607
HAC;2023;6;1,4708
HAC;2023;7;1,6258
HAC;2023;8;1,7755
HAC;2023;9;1,5126
HAC;2023;10;1,4529
HAC;2023;11;1,7382
HAC;2023;12;1,6005
HAC;2024;1;1,6779
HAC;2024;2;1,4807
HAC;2024;3;1,6444
HAC;2024;4;1,4763
HAC;2024;5;1,5944
HAC;2024;6;1,3523
HAC;2024;7;1,4607
HAC;2024;8;1,308
HAC;2024;9;1,5861
HAC;2024;10;1,4426
HAC;2024;11;1,4616
HAC;2024;12;1,432
HAC;2025;1;1,4584
HAC;2025;2;1,4216
HAC;2025;3;1,6105
HAC;2025;4;1,4465
HAC;2025;5;1,6592
HAC;2025;6;1,6179
HAC;2025;7;1,458
HAC;2025;8;1,551
HAC;2025;9;1,4527
HAC;2025;10;1,5797
HAC;2025;11;1,4792
HAC;2025;12;1,2965
HAC;2026;1;1,3311
HAC;2026;2;1,6696
HAC;2026;3;1,6601
HEM;2019;8;0,3227
HEM;2019;11;2,4021
HEM;2020;1;2,0989
HEM;2020;2;1,9497
HEM;2020;3;2,1491
HEM;2020;4;1,6907
HEM;2020;5;2,1763
HEM;2020;6;2,3714
HEM;2020;7;2,6513
HEM;2020;8;2,3975
HEM;2020;9;3,2245
HEM;2020;10;2,0931
HEM;2020;11;2,1968
HEM;2020;12;2,0959
HEM;2021;1;2,4843
HEM;2021;2;2,3409
HEM;2021;3;2,7356
HEM;2021;4;2,8948
HEM;2021;5;2,7456
HEM;2021;6;2,5648
HEM;2021;7;2,5844
HEM;2021;8;2,8305
HEM;2021;9;2,0144
HEM;2021;10;1,9097
HEM;2021;11;2,3733
HEM;2021;12;2,0159
HEM;2022;1;2,0094
HEM;2022;2;3,6905
HEM;2022;3;2,6345
HEM;2022;4;2,062
HEM;2022;5;1,9186
HEM;2022;6;2,0594
HEM;2022;7;2,1586
HEM;2022;8;1,6136
HEM;2022;9;1,5652000000000001
HEM;2022;10;1,4952
HEM;2022;11;1,7753
HEM;2022;12;1,9029
HEM;2023;1;1,5787
HEM;2023;2;1,8614
HEM;2023;3;1,6684
HEM;2023;4;1,5757
HEM;2023;5;2,0183
HEM;2023;6;1,6662999999999997
HEM;2023;7;1,9485
HEM;2023;8;2,0987
HEM;2023;9;1,9556999999999998
HEM;2023;10;2,331
HEM;2023;11;1,7166
HEM;2023;12;1,6558
HEM;2024;1;0,9939
HEM;2024;2;0,7142
HEM;2024;3;0,8823
HEM;2024;4;0,8289
HEM;2024;5;1,113
HEM;2024;6;1,7365
HEM;2024;7;1,6022
HEM;2024;8;2,0382
HEM;2024;9;2,2471
HEM;2024;10;1,7967000000000002
HEM;2024;11;2,1593
HEM;2024;12;1,8868000000000003
HEM;2025;1;1,7828
HEM;2025;2;2,1298
HEM;2025;3;2,4183
HEM;2025;4;1,9123
HEM;2025;5;1,687
HEM;2025;6;2,0131
HEM;2025;7;1,854
HEM;2025;8;2,1895
HEM;2025;9;2,0307
HEM;2025;10;2,2544
HEM;2025;11;2,1646
HEM;2025;12;1,6874000000000002
HEM;2026;1;1,7944
HEM;2026;2;1,5825
HEM;2026;3;1,4955
HIJPII;2019;5;0,7687
HIJPII;2019;6;0,7392
HIJPII;2019;9;0,4044
HIJPII;2019;10;0,9185
HIJPII;2020;1;0,9159
HIJPII;2020;2;0,9164
HIJPII;2020;3;0,7146
HIJPII;2020;4;0,9962999999999999
HIJPII;2020;5;1,0396
HIJPII;2020;6;0,7082
HIJPII;2020;7;1,5512
HIJPII;2020;8;1,117
HIJPII;2020;9;1,1403
HIJPII;2020;10;1,431
HIJPII;2020;11;1,3354
HIJPII;2020;12;1,866
HIJPII;2021;1;1,4126
HIJPII;2021;2;1,2838
HIJPII;2021;3;1,0382
HIJPII;2021;5;1,4382
HIJPII;2021;6;1,1092
HIJPII;2021;7;0,9313
HIJPII;2021;8;1,4892
HIJPII;2021;9;1,1386
HIJPII;2021;10;1,1675
HIJPII;2021;11;1,2996
HIJPII;2021;12;1,0663
HIJPII;2022;1;1,0551
HIJPII;2022;2;1,0621
HIJPII;2022;3;1,0516
HIJPII;2022;4;1,0001
HIJPII;2022;5;1,4766
